semana,estado,negativos,confirmados,sospe_con_cal,sospe_sin_cal,sospe_sin_muestra,positividad
2020-1,NACIONAL,475,0,0,73,466,0
2020-2,NACIONAL,1111,0,0,117,1106,0
2020-3,NACIONAL,1352,6,0,92,1574,0
2020-4,NACIONAL,1566,7,0,128,1641,0
2020-5,NACIONAL,1291,5,0,112,1550,0
2020-6,NACIONAL,1307,4,0,81,1490,0
2020-7,NACIONAL,1349,4,0,101,1473,0
2020-8,NACIONAL,1152,17,0,103,1525,1
2020-9,NACIONAL,1367,22,0,143,1558,2
2020-10,NACIONAL,1507,79,0,159,1616,5
2020-11,NACIONAL,2637,498,0,274,1567,16
2020-12,NACIONAL,5194,1063,0,741,2586,17
2020-13,NACIONAL,7604,1761,0,1338,6158,19
2020-14,NACIONAL,8341,2960,0,1201,7410,26
2020-15,NACIONAL,9655,4764,0,992,6811,33
2020-16,NACIONAL,11297,7625,0,1341,7888,40
2020-17,NACIONAL,13964,10480,0,1793,7066,43
2020-18,NACIONAL,18124,13336,0,2169,4660,42
2020-19,NACIONAL,20867,16659,0,2527,4333,44
2020-20,NACIONAL,24783,21958,0,2013,4920,47
2020-21,NACIONAL,26900,25777,0,2323,4899,49
2020-22,NACIONAL,29594,28177,0,2383,4861,49
2020-23,NACIONAL,32996,33713,0,2688,5316,51
2020-24,NACIONAL,34612,35387,0,3063,5601,51
2020-25,NACIONAL,37970,40198,0,3073,7441,51
2020-26,NACIONAL,36019,39398,0,3066,9477,52
2020-27,NACIONAL,42626,47055,0,4506,7703,52
2020-28,NACIONAL,42740,47773,0,4220,6478,53
2020-29,NACIONAL,45026,49367,0,3609,5865,52
2020-30,NACIONAL,44773,47955,0,3522,6022,52
2020-31,NACIONAL,44702,43255,0,3212,5293,49
2020-32,NACIONAL,42299,38005,0,2982,4670,47
2020-33,NACIONAL,45745,38466,0,3196,4499,46
2020-34,NACIONAL,46680,38592,0,3284,4172,45
2020-35,NACIONAL,48515,36770,0,4072,3960,43
2020-36,NACIONAL,53330,37205,0,3432,4344,41
2020-37,NACIONAL,46412,31568,0,2829,3238,40
2020-38,NACIONAL,43508,30991,0,2866,3098,42
2020-39,NACIONAL,48583,32235,0,3390,2901,40
2020-40,NACIONAL,49745,33057,0,3596,3246,40
2020-41,NACIONAL,48496,37071,0,3656,3494,43
2020-42,NACIONAL,50480,39703,0,3746,3430,44
2020-43,NACIONAL,62107,43560,0,3925,3884,41
2020-44,NACIONAL,58077,39888,0,4661,3910,41
2020-45,NACIONAL,54941,45144,0,5639,3781,45
2020-46,NACIONAL,55110,45224,0,4908,3876,45
2020-47,NACIONAL,63091,53135,0,4513,4751,46
2020-48,NACIONAL,75113,55740,0,4027,4546,43
2020-49,NACIONAL,100730,68934,0,4592,5408,41
2020-50,NACIONAL,107594,74083,0,4843,5804,41
2020-51,NACIONAL,106386,72769,0,4892,5341,41
2020-52,NACIONAL,95562,69381,0,4256,5549,42
2020-53,NACIONAL,111794,85941,0,4898,5384,43
2021-1,NACIONAL,131872,105841,0,5001,6822,45
2021-2,NACIONAL,145643,103639,0,5015,5533,42
2021-3,NACIONAL,145371,89916,0,5548,5409,38
2021-4,NACIONAL,128893,65380,0,4266,4185,34
2021-5,NACIONAL,108442,50310,4962,378,3444,32
